  0.8550   1         25.05        0.00          0.42         23.22       -2.80
  0.8560   1         25.08        0.00          0.43         23.13       -2.74
  0.8570   1         25.10        0.00          0.43         23.04       -2.58
  0.8580   1         25.12        0.00          0.44         22.96       -2.48
  0.8590   1         25.14        0.00          0.45         22.88       -2.45
  0.8600   1         25.17        0.00          0.45         22.80       -2.44
  0.8610   1         25.19        0.00          0.46         22.72       -2.43
  0.8620   1         25.21        0.00          0.46         22.64       -2.44
  0.8630   1         25.24        0.00          0.47         22.57       -2.45
  0.8640   1         25.26        0.00          0.48         22.49       -2.47
  0.8650   1         25.28        0.00          0.48         22.41       -2.47
  0.8660   1         25.30        0.00          0.49         22.33       -2.46
  0.8670   1         25.32        0.00          0.50         22.25       -2.39
  0.8680   1         25.35        0.00          0.51         22.17       -2.35
  0.8690   1         25.37        0.00          0.51         22.10       -2.34
  0.8700   1         25.39        0.00          0.52         22.02       -2.39
  0.8710   1         25.41        0.00          0.53         21.94       -2.41
  0.8720   1         25.43        0.00          0.54         21.87       -2.32
  0.8730   1         25.46        0.00          0.54         21.79       -2.15
  0.8740   1         25.48        0.00          0.55         21.74       -1.26
  0.8750   1         25.50        0.00          0.56         21.70       -0.91
  0.8760   1         25.52        0.00          0.57         21.68       -0.54
  0.8770   1         25.54        0.00          0.57         21.66       -0.52
  0.8780   1         25.57        0.00          0.58         21.65       -0.34
  0.8790   1         25.59        0.00          0.59         21.64       -0.33
  0.8800   1         25.61        0.00          0.59         21.63       -0.27
  0.8810   1         25.63        0.00          0.60         21.62       -0.22
  0.8820   1         25.65        0.00          0.60         21.62       -0.17
  0.8830   1         25.67       -0.01          0.61         21.61       -0.17
  0.8840   1         25.70       -0.01          0.61         21.61       -0.17
  0.8860   1         25.74       -0.01          0.62         21.59       -0.17
  0.8880   1         25.78       -0.01          0.62         21.58       -0.16
  0.8900   1         25.82       -0.01          0.62         21.57       -0.16
  0.8920   1         25.87       -0.01          0.62         21.56       -0.16
  0.8940   1         25.91       -0.01          0.62         21.55       -0.15
  0.8960   1         25.95       -0.01          0.62         21.54       -0.15
  0.8980   1         26.00       -0.01          0.61         21.53       -0.15
  0.9000   1         26.04       -0.01          0.60         21.53       -0.14
  0.9020   1         26.08       -0.01          0.59         21.52       -0.14
  0.9040   1         26.13       -0.01          0.58         21.51       -0.14
  0.9060   1         26.17       -0.01          0.57         21.50       -0.13
  0.9080   1         26.21       -0.01          0.55         21.49       -0.13
  0.9100   1         26.26       -0.02          0.53         21.48       -0.14
  0.9120   1         26.30       -0.02          0.52         21.47       -0.14
  0.9140   1         26.34       -0.02          0.50         21.46       -0.14
  0.9160   1         26.38       -0.02          0.48         21.45       -0.14
  0.9180   1         26.43       -0.02          0.46         21.45       -0.14
  0.9200   1         26.47       -0.02          0.44         21.44       -0.15
  0.9220   1         26.51       -0.02          0.43         21.43       -0.15
  0.9240   1         26.56       -0.02          0.41         21.42       -0.15
  0.9260   1         26.60       -0.02          0.39         21.41       -0.15
  0.9280   1         26.64       -0.02          0.37         21.40       -0.15
  0.9300   1         26.68       -0.02          0.35         21.39       -0.15
